match_id,innings_id,team_id,team_name,bowler_id,bowler_name,overs,maidens,runs,wickets,economy,no_balls,wides,dots,balls,bowling_position,venue_ground,venue_city,venue,start_date
38592,1,2,India,8683,Thakur,7,0,38,0,5.4,0,0,0,70,4,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-06 13:30:00"
38592,1,2,India,10945,"Washington Sundar",9,1,30,3,3.3,0,1,1,90,3,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-06 13:30:00"
38592,1,2,India,7910,Chahal,9.5,0,49,4,5,0,0,0,95,5,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-06 13:30:00"
38592,1,2,India,10551,Prasidh,10,0,29,2,2.9,0,2,0,100,2,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-06 13:30:00"
38592,1,2,India,10808,Siraj,8,2,26,1,3.2,0,1,2,80,1,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-06 13:30:00"
38592,2,10,"West Indies",8435,"Akeal Hosein",9,0,46,1,5.1,0,0,0,90,4,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-06 13:30:00"
38592,2,10,"West Indies",11220,"Alzarri Joseph",7,0,45,2,6.4,0,3,0,70,3,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-06 13:30:00"
38592,2,10,"West Indies",9785,"Fabian Allen",2,0,14,0,7,0,0,0,20,5,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-06 13:30:00"
38592,2,10,"West Indies",8313,"Jason Holder",5,0,29,0,5.8,0,1,0,50,2,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-06 13:30:00"
38592,2,10,"West Indies",1359,"Kemar Roach",5,0,41,0,8.2,0,4,0,50,1,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-06 13:30:00"
38597,1,10,"West Indies",8313,Holder,9,2,37,1,4.1,0,0,2,90,4,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-09 13:30:00"
38597,1,10,"West Indies",11215,"Odean Smith",7,0,29,2,4.1,0,1,0,70,3,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-09 13:30:00"
38597,1,10,"West Indies",9785,"Fabian Allen",10,0,50,1,5,0,0,0,100,6,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-09 13:30:00"
38597,1,10,"West Indies",8435,"Akeal Hosein",6,0,39,1,6.5,1,0,0,60,5,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-09 13:30:00"
38597,1,10,"West Indies",11220,"Alzarri Joseph",10,0,36,2,3.6,0,0,0,100,2,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-09 13:30:00"
38597,1,10,"West Indies",1359,Roach,8,0,42,1,5.2,1,1,0,80,1,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-09 13:30:00"
38597,2,2,India,7910,"Yuzvendra Chahal",10,0,45,1,4.5,2,0,0,100,4,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-09 13:30:00"
38597,2,2,India,10551,"Prasidh Krishna",9,3,12,4,1.3,0,0,3,90,3,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-09 13:30:00"
38597,2,2,India,9427,"Deepak Hooda",4,0,24,1,6,0,3,0,40,6,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-09 13:30:00"
38597,2,2,India,10945,"Washington Sundar",5,0,28,1,5.6,1,0,0,50,5,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-09 13:30:00"
