series_id,series_name,host_country,match_type,start_date,total_matches,created_at,updated_at
6794,"Australia tour of England, 2024",England,"T20I, ODI",2024-09-11,8,"2025-09-02 00:20:09","2025-09-02 00:20:09"
7745,"India tour of Australia, 2024-25",Australia,Test,2024-11-22,6,"2025-09-02 00:20:09","2025-09-02 00:20:09"
7781,"Pakistan tour of Australia, 2024",Australia,"T20I, ODI",2024-11-03,6,"2025-09-02 00:20:09","2025-09-02 00:20:09"
7853,"England tour of New Zealand, 2024","New Zealand",Test,2024-11-23,4,"2025-09-02 00:20:09","2025-09-02 00:20:09"
7981,"Ireland v South Africa in UAE, 2024","United Arab Emirates","T20I, ODI",2024-09-26,5,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8044,"Pakistan tour of South Africa, 2024 -25","South Africa","Test, T20I, ODI",2024-12-10,8,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8058,"Sri Lanka tour of South Africa, 2024","South Africa",Test,2024-11-27,2,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8107,"England tour of West Indies, 2024","West Indies","T20I, ODI",2024-10-31,8,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8116,"Bangladesh tour of West Indies, 2024","West Indies","ODI, T20I, Test",2024-11-17,9,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8393,"Bangladesh tour of India, 2024",India,"T20I, Test",2024-09-19,5,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8395,"New Zealand tour of India, 2024",India,Test,2024-10-16,3,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8404,"India tour of South Africa, 2024","South Africa",T20I,2024-11-08,4,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8494,"Pakistan tour of Zimbabwe, 2024",Zimbabwe,"T20I, ODI",2024-11-24,6,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8497,"England tour of Pakistan, 2024",Pakistan,Test,2024-10-07,3,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8552,"Australia tour of Scotland, 2024",Scotland,T20I,2024-09-04,3,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8553,"Sri Lanka tour of New Zealand, 2024-25","New Zealand","T20I, ODI",2024-12-23,8,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8598,"ICC Mens T20 World Cup Sub Regional East Asia-Pacific Qualifier B, 2024","South Korea",T20I,2024-09-28,12,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8625,"Afghanistan v New Zealand in India, 2024",India,Test,2024-09-09,1,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8661,"Afghanistan v South Africa in UAE, 2024","United Arab Emirates",ODI,2024-09-18,3,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8818,"New Zealand tour of Sri Lanka, 2024","Sri Lanka",Test,2024-09-18,2,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8835,"ICC Mens T20 World Cup Africa Sub Regional Qualifier A 2024",Tanzania,T20I,2024-09-21,15,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8947,"Namibia T20I Tri-Series 2024",Namibia,T20I,2024-09-29,6,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8955,"Canada T20I Tri-Series 2024",Canada,T20I,2024-09-28,6,"2025-09-02 00:20:09","2025-09-02 00:20:09"
8969,"T20I Tri-Series in South Korea, 2024","South Korea",T20I,2024-09-25,2,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9009,"West Indies tour of Sri Lanka, 2024","Sri Lanka","T20I, ODI",2024-10-13,6,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9017,"Serbia tour of Gibraltar, 2024",Gibraltar,T20I,2024-09-30,2,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9025,"Quadrangular T20I Series in Bhutan, 2024",Bhutan,T20I,2024-10-19,10,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9033,"South Africa tour of Bangladesh, 2024",Bangladesh,Test,2024-10-21,2,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9041,"ICC Mens T20 World Cup Sub Regional Africa Qualifier Group B, 2024",Kenya,T20I,2024-10-19,15,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9043,"Nepal tour of United States of America 2024","United States",T20I,2024-10-17,3,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9057,"Rwanda tour of Malawi 2024",Malawi,T20I,2024-10-09,5,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9083,"New Zealand tour of Sri Lanka, 2024","Sri Lanka","T20I, ODI",2024-11-09,5,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9091,"Afghanistan v Bangladesh in UAE, 2024","United Arab Emirates",ODI,2024-11-06,3,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9115,"Seychelles tour of Kenya, Only T20I",Kenya,T20I,2024-10-18,1,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9125,"Netherlands tour of Oman, 2024",Oman,T20I,2024-11-13,3,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9129,"ICC Mens T20 World Cup Asia Qualifier B 2024",Qatar,T20I,2024-11-19,21,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9132,"ICC Mens T20 World Cup Africa Sub Regional Qualifier C 2024",Nigeria,T20I,2024-11-23,15,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9146,"Myanmar tour of Indonesia, 2024",Indonesia,T20I,2024-11-12,6,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9157,"Bahrain in Uganda 2024",Uganda,T20I,2024-10-28,2,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9171,"Afghanistan tour of Zimbabwe, 2024-25",Zimbabwe,"Test, T20I, ODI",2024-12-09,8,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9265,"ICC Mens T20 World Cup Americas Sub Regional Qualifier, 2024",Argentina,T20I,2024-12-06,36,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9289,"Africa Continental Cup 2024",Rwanda,T20I,2024-12-04,19,"2025-09-02 00:20:09","2025-09-02 00:20:09"
9297,"Gulf Cricket T20I Championship, 2024","United Arab Emirates",T20I,2024-12-13,16,"2025-09-02 00:20:09","2025-09-02 00:20:09"
