innings_id,match_id,team_id,innings_number,runs,wickets,overs,is_declared
1,41811,10,1,269,10,48.5,0
2,41811,27,2,245,10,49.1,0
3,42751,10,1,229,10,48.0,0
4,42751,27,2,168,5,32.3,0
5,41821,10,1,212,10,44.4,0
6,41821,27,2,214,8,44.5,0
7,42376,5,2,300,5,48.3,0
8,42376,12,1,296,9,50.0,0
9,42381,5,2,280,9,50.0,0
10,42381,12,1,302,8,50.0,0
11,42391,5,1,254,9,50.0,0
12,42391,12,2,70,10,24.4,0
13,35852,10,2,104,1,17.1,0
14,35852,9,1,103,10,19.4,0
15,35857,10,2,170,8,20.0,0
16,35857,9,1,171,8,20.0,0
17,35862,10,1,224,5,20.0,0
18,35862,9,2,204,9,20.0,0
19,35863,10,2,159,5,20.0,0
20,35863,9,1,193,6,20.0,0
21,35867,10,1,179,4,20.0,0
22,35867,9,2,162,10,19.5,0
23,35872,350,2,264,10,96.1,0
24,35872,350,4,123,7,52.1,0
25,35872,9,1,466,6,145.0,1
26,35872,9,3,164,4,39.0,1
27,35877,10,2,375,10,157.3,0
28,35877,10,4,147,4,70.1,0
29,35877,9,1,311,10,100.3,0
30,35877,9,3,349,6,88.2,1
31,35878,10,2,411,10,187.5,0
32,35878,10,4,135,5,65.0,0
33,35878,9,1,507,9,150.5,1
34,35878,9,3,185,6,39.5,1
35,35882,10,2,297,10,116.3,0
36,35882,10,4,28,NULL,4.5,0
37,35882,9,1,204,10,89.4,0
38,35882,9,3,120,10,64.2,0
39,38592,2,2,178,4,28.0,0
40,38592,10,1,176,10,43.5,0
41,38597,2,1,237,9,50.0,0
42,38597,10,2,193,10,46.0,0
43,38602,2,1,265,10,50.0,0
44,38602,10,2,169,10,37.1,0
45,38607,2,2,162,4,18.5,0
46,38607,10,1,157,7,20.0,0
47,38612,2,1,186,5,20.0,0
48,38612,10,2,178,3,20.0,0
49,38617,2,1,184,5,20.0,0
50,38617,10,2,167,9,20.0,0
51,36396,4,1,149,9,20.0,0
52,36396,5,2,122,8,19.0,0
53,36397,4,1,164,6,20.0,0
54,36397,5,2,164,8,20.0,0
55,36401,4,2,124,4,16.5,0
56,36401,5,1,121,6,20.0,0
57,36402,4,2,143,4,18.1,0
58,36402,5,1,139,8,20.0,0
59,36407,4,1,154,6,20.0,0
60,36407,5,2,155,5,19.5,0
61,40543,13,2,482,10,117.5,0
62,40543,11,1,95,10,49.2,0
63,40543,11,3,111,10,41.4,0
64,40546,13,2,293,10,80.0,0
65,40546,13,4,227,10,93.5,0
66,40546,11,1,364,10,133.0,0
67,40546,11,3,354,9,100.0,1
68,43951,6,2,219,6,48.5,0
69,43951,96,1,215,10,49.1,0
70,43956,6,1,306,4,50.0,0
71,43956,96,2,218,10,45.1,0
72,43961,6,1,192,10,46.5,0
73,43961,96,2,193,3,40.1,0
74,43966,6,1,155,8,20.0,0
75,43966,96,2,94,10,17.4,0
76,43971,6,1,115,9,20.0,0
77,43971,96,2,121,2,17.4,0
78,38632,2,1,199,2,20.0,0
79,38632,5,2,137,6,20.0,0
80,38637,2,2,186,3,17.1,0
81,38637,5,1,183,5,20.0,0
82,38642,2,2,148,4,16.5,0
83,38642,5,1,146,5,20.0,0
84,38622,2,1,574,8,129.2,1
85,38622,5,2,174,10,65.0,0
86,38622,5,3,178,10,60.0,0
87,38627,2,1,252,10,59.1,0
88,38627,2,3,303,9,68.5,1
89,38627,5,2,109,10,35.5,0
90,38627,5,4,208,10,59.3,0
91,40348,3,1,476,4,162.0,1
92,40348,3,3,252,NULL,77.0,0
93,40348,4,2,459,10,140.1,0
94,40353,3,2,148,10,53.0,0
95,40353,3,4,443,7,171.4,0
96,40353,4,1,556,9,189.0,1
97,40353,4,3,97,2,22.3,1
98,40358,3,2,268,10,116.4,0
99,40358,3,4,235,10,92.1,0
100,40358,4,1,391,10,133.3,0
101,40358,4,3,227,3,60.0,1
102,40361,3,2,225,10,45.2,0
103,40361,4,1,313,7,50.0,0
104,40366,3,2,349,4,49.0,0
105,40366,4,1,348,8,50.0,0
106,40368,3,2,214,1,37.5,0
107,40368,4,1,210,10,41.5,0
108,40373,3,1,162,8,20.0,0
109,40373,4,2,163,7,19.1,0
110,38432,11,2,276,10,48.5,0
111,38432,6,1,314,7,50.0,0
112,38436,11,2,195,3,37.2,0
113,38436,6,1,194,9,50.0,0
114,38441,11,1,154,10,37.0,0
115,38441,6,2,156,1,26.3,0
116,38442,11,1,367,10,121.0,0
117,38442,11,3,204,10,74.0,0
118,38442,6,2,298,10,115.5,0
119,38442,6,4,53,10,19.0,0
120,38447,11,1,453,10,136.2,0
121,38447,11,3,176,6,39.5,1
122,38447,6,2,217,10,74.2,0
123,38447,6,4,80,10,23.3,0
124,46609,5,1,50,1,18.2,0
125,46611,6,2,465,10,170.1,1
126,46611,5,1,397,10,153.0,0
127,46611,5,3,260,6,90.1,0
128,46616,6,1,365,10,116.2,0
129,46616,6,3,169,10,55.3,0
130,46616,5,2,506,10,165.1,0
131,46616,5,4,29,NULL,3.0,0
132,48002,41,2,247,10,79.1,0
