match_id,series_id,series_name,year,match_desc,match_format,start_date,end_date,state,status,venue_ground,venue_city,timezone,team1_id,team1_name,team1_sname,team2_id,team2_name,team2_sname,toss_winner_id,match_winner_id,margin_runs,margin_wickets,is_close_match
35852,3482,"England tour of West Indies, 2022",2022,1st T20I,T20,23-01-2022 01:30,23-01-2022 01:30,complete,West Indies won by 9 wkts,Kensington Oval,"Bridgetown, Barbados",-04:00,10,WEST INDIES,WI,9,ENGLAND,ENG,10,10,NULL,9,0
35857,3482,"England tour of West Indies, 2022",2022,2nd T20I,T20,24-01-2022 01:30,24-01-2022 01:30,complete,England won by 1 run,Kensington Oval,"Bridgetown, Barbados",-04:00,10,WEST INDIES,WI,9,ENGLAND,ENG,9,9,1,NULL,1
35862,3482,"England tour of West Indies, 2022",2022,3rd T20I,T20,27-01-2022 01:30,27-01-2022 01:30,complete,West Indies won by 20 runs,Kensington Oval,"Bridgetown, Barbados",-04:00,10,WEST INDIES,WI,9,ENGLAND,ENG,10,10,20,NULL,1
35863,3482,"England tour of West Indies, 2022",2022,4th T20I,T20,30-01-2022 01:30,30-01-2022 01:30,complete,England won by 34 runs,Kensington Oval,"Bridgetown, Barbados",-04:00,10,WEST INDIES,WI,9,ENGLAND,ENG,9,9,34,NULL,1
35867,3482,"England tour of West Indies, 2022",2022,5th T20I,T20,31-01-2022 01:30,31-01-2022 01:30,complete,West Indies won by 17 runs,Kensington Oval,"Bridgetown, Barbados",-04:00,10,WEST INDIES,WI,9,ENGLAND,ENG,10,10,17,NULL,1
35872,3482,"England tour of West Indies, 2022",2022,4-day Practice Match,TEST,01-03-2022 19:30,04-03-2022 19:30,complete,Match drawn,Coolidge Cricket Ground,Antigua,-04:00,350,WEST INDIES CRICKET BOARD PRESIDENT XI,WICBPXI,9,ENGLAND,ENG,350,NULL,NULL,NULL,0
35877,3482,"England tour of West Indies, 2022",2022,1st Test,TEST,08-03-2022 19:30,12-03-2022 19:30,complete,Match drawn,Sir Vivian Richards Stadium,"North Sound, Antigua",-04:00,10,WEST INDIES,WI,9,ENGLAND,ENG,10,NULL,NULL,NULL,0
35878,3482,"England tour of West Indies, 2022",2022,2nd Test,TEST,16-03-2022 19:30,20-03-2022 19:30,complete,Match drawn,Kensington Oval,"Bridgetown, Barbados",-04:00,10,WEST INDIES,WI,9,ENGLAND,ENG,10,NULL,NULL,NULL,0
35882,3482,"England tour of West Indies, 2022",2022,3rd Test,TEST,24-03-2022 19:30,28-03-2022 19:30,complete,West Indies won by 10 wkts,National Cricket Stadium,"St Georges, Grenada",-04:00,10,WEST INDIES,WI,9,ENGLAND,ENG,10,10,NULL,10,0
36396,3547,"Sri Lanka tour of Australia, 2022",2022,1st T20I,T20,11-02-2022 13:40,11-02-2022 13:40,complete,Australia won by 20 runs (DLS method),Sydney Cricket Ground,Sydney,+11:00,4,AUSTRALIA,AUS,5,SRI LANKA,SL,4,4,20,NULL,1
36397,3547,"Sri Lanka tour of Australia, 2022",2022,2nd T20I,T20,13-02-2022 13:40,13-02-2022 13:40,complete,Match tied - Australia won the Super Over,Sydney Cricket Ground,Sydney,+11:00,4,AUSTRALIA,AUS,5,SRI LANKA,SL,4,4,NULL,NULL,0
36401,3547,"Sri Lanka tour of Australia, 2022",2022,3rd T20I,T20,15-02-2022 13:40,15-02-2022 13:40,complete,Australia won by 6 wkts,Manuka Oval,Canberra,+11:00,4,AUSTRALIA,AUS,5,SRI LANKA,SL,4,4,NULL,6,0
