match_id,series_name,match_description,innings_id,batting_team,batting_team_short,bowling_team,bowling_team_short,partnership_key,batter1_id,batter1_name,batter1_runs,batter1_fours,batter1_sixes,batter2_id,batter2_name,batter2_runs,batter2_fours,batter2_sixes,total_runs,total_balls,batter1_balls,batter2_balls
114234,"The Hundred Womens Competition 2025","29th Match",1,"Oval Invincibles Women",OVLW,"London Spirit Women",LDNW,pat_1,13006,"Paige Scholfield",53,7,2,9114,Lanning,42,7,0,106,58,28,30
114234,"The Hundred Womens Competition 2025","29th Match",1,"Oval Invincibles Women",OVLW,"London Spirit Women",LDNW,pat_2,13006,"Paige Scholfield",0,0,0,19417,Capsey,1,0,0,1,2,1,1
114234,"The Hundred Womens Competition 2025","29th Match",1,"Oval Invincibles Women",OVLW,"London Spirit Women",LDNW,pat_3,9182,Kapp,4,1,0,19417,Capsey,1,0,0,5,2,1,1
114234,"The Hundred Womens Competition 2025","29th Match",1,"Oval Invincibles Women",OVLW,"London Spirit Women",LDNW,pat_4,9182,Kapp,2,0,0,9420,Winfield-Hill,3,0,0,5,6,0,0
114234,"The Hundred Womens Competition 2025","29th Match",1,"Oval Invincibles Women",OVLW,"London Spirit Women",LDNW,pat_5,9182,Kapp,3,0,0,11957,"Amanda-Jade Wellington",7,1,0,10,15,0,0
114234,"The Hundred Womens Competition 2025","29th Match",1,"Oval Invincibles Women",OVLW,"London Spirit Women",LDNW,pat_6,9182,Kapp,11,2,0,13924,"Joanne Gardner",2,0,0,13,10,0,0
114234,"The Hundred Womens Competition 2025","29th Match",1,"Oval Invincibles Women",OVLW,"London Spirit Women",LDNW,pat_7,9182,Kapp,6,1,0,19377,Franklin,2,0,0,8,7,0,0
114234,"The Hundred Womens Competition 2025","29th Match",1,"Oval Invincibles Women",OVLW,"London Spirit Women",LDNW,pat_8,19922,"Kalea Moore",0,0,0,19377,Franklin,0,0,0,0,1,0,0
114234,"The Hundred Womens Competition 2025","29th Match",1,"Oval Invincibles Women",OVLW,"London Spirit Women",LDNW,pat_9,29494,"Sophia Smale",1,0,0,19377,Franklin,6,1,0,7,4,0,0
114242,"The Hundred Womens Competition 2025","30th Match",1,"Manchester Originals Women",MCRW,"Northern Superchargers Women",NORW,pat_1,9989,Mooney,5,1,0,12292,Bryce,6,1,0,11,15,10,5
114242,"The Hundred Womens Competition 2025","30th Match",1,"Manchester Originals Women",MCRW,"Northern Superchargers Women",NORW,pat_10,25051,"Mahika Gaur",3,0,0,38694,"Seren Smale",2,0,0,5,6,0,0
