teamId,teamName,teamSName,countryName,category,playerId,playerName,battingStyle,bowlingStyle,role,Matches_Test_bat,Matches_ODI_bat,Matches_T20_bat,Innings_Test_bat,Innings_ODI_bat,Innings_T20_bat,Runs_Test_bat,Runs_ODI_bat,Runs_T20_bat,Balls_Test_bat,Balls_ODI_bat,Balls_T20_bat,Highest_Test_bat,Highest_ODI_bat,Highest_T20_bat,Average_Test_bat,Average_ODI_bat,Average_T20_bat,SR_Test_bat,SR_ODI_bat,SR_T20_bat,"Not Out_Test_bat","Not Out_ODI_bat","Not Out_T20_bat",Ducks_Test_bat,Ducks_ODI_bat,Ducks_T20_bat,50s_Test_bat,50s_ODI_bat,50s_T20_bat,100s_Test_bat,100s_ODI_bat,100s_T20_bat,Matches_Test_bowl,Matches_ODI_bowl,Matches_T20_bowl,Matches_IPL_bowl,Innings_Test_bowl,Innings_ODI_bowl,Innings_T20_bowl,Balls_Test_bowl,Balls_ODI_bowl,Balls_T20_bowl,Runs_Test_bowl,Runs_ODI_bowl,Runs_T20_bowl,Maidens_Test_bowl,Maidens_ODI_bowl,Maidens_T20_bowl,Wickets_Test_bowl,Wickets_ODI_bowl,Wickets_T20_bowl,Avg_Test_bowl,Avg_ODI_bowl,Avg_T20_bowl,Eco_Test_bowl,Eco_ODI_bowl,Eco_T20_bowl,SR_Test_bowl,SR_ODI_bowl,SR_T20_bowl,5w_Test_bowl,5w_ODI_bowl,5w_T20_bowl
6,Bangladesh,BAN,Bangladesh,"Test Teams",394,"Mushfiqur Rahim","Right-hand bat",NULL,"WICKET KEEPER",98,274,102,181,256,93,6328,7795,1500,13069,9780,1305,219,144,72,37.89,36.26,19.23,48.42,79.71,114.95,14,41,15,13,12,8,27,49,6,12,9,0,98,274,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
12,Zimbabwe,ZIM,Zimbabwe,"Test Teams",441,"Sean Williams","Left-hand bat","Left-arm orthodox","ALL ROUNDER",24,164,81,47,159,80,1946,5217,1691,3020,6000,1338,154,174,66,45.26,37.53,23.49,64.44,86.95,126.39,4,20,8,0,9,6,7,37,11,6,8,0,24,164,81,0,28,133,73,2488,5014,1188,1309,4097,1374,44,35,0,26,86,48,50.35,47.64,28.63,3.16,4.90,6.94,95.69,58.30,24.75,0,0,0
2,India,IND,India,"Test Teams",576,"Rohit Sharma","Right-hand bat","Right-arm offbreak",BATSMEN,67,273,159,116,265,151,4301,11168,4231,7538,12034,3003,212,264,121,40.58,48.77,31.34,57.06,92.81,140.90,10,36,16,6,16,12,18,58,32,12,32,5,67,273,159,272,16,40,9,383,610,68,224,533,113,5,2,0,2,9,1,112.00,59.22,113.00,3.51,5.24,9.97,191.50,67.78,68.00,0,0,0
2,India,IND,India,"Test Teams",587,"Ravindra Jadeja","Left-hand bat","Left-arm orthodox","ALL ROUNDER",85,204,74,128,137,41,3886,2806,515,7037,3284,405,175,87,46,37.73,32.63,21.46,55.23,85.45,127.17,25,51,17,8,6,3,27,13,0,5,0,0,85,204,74,254,159,196,71,19326,10116,1356,8305,8180,1612,742,59,4,330,231,54,25.17,35.41,29.85,2.58,4.85,7.13,58.56,43.79,25.11,15,2,0
27,Ireland,IRE,Ireland,"Test Teams",1114,"Paul Stirling","Right-hand bat","Right-arm offbreak","ALL ROUNDER",8,169,151,16,162,148,382,6005,3669,652,6865,2720,103,177,115,23.88,37.77,26.59,58.59,87.48,134.89,0,3,10,1,13,13,1,32,24,1,14,1,8,169,151,0,1,76,41,12,2441,522,11,1942,647,0,8,1,0,43,20,0.00,45.16,32.35,5.50,4.77,7.44,0.00,56.77,26.10,0,1,0
6,Bangladesh,BAN,Bangladesh,"Test Teams",1121,Mahmudullah,"Right-hand bat","Right-arm offbreak","ALL ROUNDER",50,239,141,94,209,130,2914,5689,2443,5456,7330,2083,150,128,64,33.11,36.47,23.49,53.41,77.62,117.29,6,53,26,11,10,5,16,32,8,5,4,0,50,239,141,0,66,153,80,3423,4380,950,1958,3810,1135,56,14,2,43,82,41,45.53,46.46,27.68,3.43,5.22,7.17,79.60,53.41,23.17,1,0,0
10,"West Indies",WI,"West Indies","Test Teams",1394,"Andre Fletcher","Right-hand bat",NULL,"WICKET KEEPER",0,25,60,0,25,57,0,354,984,0,549,892,0,54,84,0.00,14.16,19.68,0.00,64.49,110.32,0,0,7,0,3,9,0,2,6,0,0,0,0,25,60,0,0,3,0,0,28,0,0,26,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,5.57,0.00,0.00,0.00,0.00,0,0,0
2,India,IND,India,"Test Teams",1413,"Virat Kohli","Right-hand bat","Right-arm medium",BATSMEN,123,302,125,210,290,117,9230,14181,4188,16608,15192,3056,254,183,122,46.85,57.88,48.70,55.58,93.35,137.05,13,45,31,15,16,7,31,74,38,30,51,1,123,302,125,267,11,50,13,175,662,152,84,680,204,2,1,0,0,5,4,0.00,136.00,51.00,2.88,6.16,8.05,0.00,132.40,38.00,0,0,0
5,"Sri Lanka",SL,"Sri Lanka","Test Teams",1629,"Angelo Mathews","Right-hand bat","Right-arm fast-medium","ALL ROUNDER",119,226,90,212,194,73,8214,5916,1416,16970,7135,1175,200,139,81,44.40,40.52,27.76,48.41,82.92,120.52,27,48,22,6,16,1,45,40,6,16,3,0,119,226,90,49,86,163,72,3978,5324,1169,1798,4110,1389,161,56,4,33,126,45,54.48,32.62,30.87,2.71,4.63,7.13,120.55,42.25,25.98,0,1,0
9,England,ENG,England,"Test Teams",1742,"Adil Rashid","Right-hand bat","Right-arm legbreak",BOWLER,19,153,127,33,82,41,540,955,155,1270,998,175,61,69,22,19.29,17.36,7.38,42.52,95.70,88.58,5,27,20,3,8,3,2,1,0,0,0,0,19,153,127,3,34,147,122,3816,7680,2672,2390,7237,3301,50,14,5,60,227,135,39.83,31.88,24.45,3.76,5.65,7.41,63.60,33.83,19.79,2,2,0
