id,matchDescription,team1,team2,venue,city,date
1,"27th Match","Kashi Rudras","Meerut Mavericks","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"2025-08-30 19:30:00"
2,"Qualifier 2","East Delhi Riders","West Delhi Lions","Arun Jaitley Stadium",Delhi,"2025-08-30 19:00:00"
3,"20th Match","Thrissur Titans","Kochi Blue Tigers","Greenfield International Stadium",Thiruvananthapuram,"2025-08-30 18:45:00"
4,Eliminator,"Northern Superchargers Women","London Spirit Women","Kennington Oval",London,"2025-08-30 18:45:00"
5,"5th Match",Hungary,Croatia,"GB Oval",Szodliget,"2025-08-30 18:30:00"
6,"1st T20I",Netherlands,Bangladesh,"Sylhet International Cricket Stadium",Sylhet,"2025-08-30 17:30:00"
7,"26th Match","Lucknow Falcons","Gaur Gorakhapur Lions","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"2025-08-30 15:00:00"
8,"19th Match","Calicut Globstars","Adani Trivandrum Royals","Greenfield International Stadium",Thiruvananthapuram,"2025-08-30 14:30:00"
9,"3rd Match","Finland Women","Norway Women","Ishoj Cricket Club",Vejledalen,"2025-08-30 14:00:00"
10,"4th Match","Sweden Women","Denmark Women","Albertslund Cricket Club",Copenhagen,"2025-08-30 14:00:00"
11,"1st Unofficial ODI","New Zealand A","South Africa A","Tshwane University of Technology Oval",Pretoria,"2025-08-30 13:30:00"
12,"16th Match","Barbados Royals","Trinbago Knight Riders","Brian Lara Stadium","Tarouba, Trinidad","2025-08-30 05:30:00"
13,"1st Match",Pakistan,Afghanistan,"Sharjah Cricket Stadium",Sharjah,"2025-08-29 20:30:00"
14,"2nd T20I","Sweden Women","Norway Women","Albertslund Cricket Club",Copenhagen,"2025-08-29 20:30:00"
15,"1st Match","Finland Women","Germany Women","Ishoj Cricket Club",Vejledalen,"2025-08-29 20:30:00"
16,"81st Match",Namibia,Scotland,"Maple Leaf North-West Ground","King City","2025-08-29 20:00:00"
17,"25th Match","Kanpur Superstars","Noida Kings","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"2025-08-29 19:30:00"
18,Eliminator,"South Delhi Superstarz","West Delhi Lions","Arun Jaitley Stadium",Delhi,"2025-08-29 19:00:00"
19,"18th Match","Calicut Globstars","Alleppey Ripples","Greenfield International Stadium",Thiruvananthapuram,"2025-08-29 18:45:00"
20,"2nd Match",Croatia,Hungary,"GB Oval",Szodliget,"2025-08-29 16:30:00"
21,"24th Match","Meerut Mavericks","Gaur Gorakhapur Lions","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"2025-08-29 15:00:00"
22,"17th Match","Thrissur Titans","Aries Kollam Sailors","Greenfield International Stadium",Thiruvananthapuram,"2025-08-29 14:30:00"
23,"Qualifier 1","East Delhi Riders","Central Delhi Kings","Arun Jaitley Stadium",Delhi,"2025-08-29 14:00:00"
24,"1st ODI","Sri Lanka",Zimbabwe,"Harare Sports Club",Harare,"2025-08-29 13:00:00"
25,"1st Match",Hungary,Serbia,"GB Oval",Szodliget,"2025-08-29 12:30:00"
26,"15th Match","St Kitts and Nevis Patriots","Saint Lucia Kings","Daren Sammy National Cricket Stadium","Gros Islet, St Lucia","2025-08-29 04:30:00"
27,"32nd Match","Southern Brave","Welsh Fire","The Rose Bowl",Southampton,"2025-08-28 23:00:00"
28,"23rd Match","Kashi Rudras","Noida Kings","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"2025-08-28 19:30:00"
29,"32nd Match","Southern Brave Women","Welsh Fire Women","The Rose Bowl",Southampton,"2025-08-28 19:30:00"
30,"40th Match","North Delhi Strikers","New Delhi Tigers","Arun Jaitley Stadium",Delhi,"2025-08-28 19:00:00"
31,"16th Match","Alleppey Ripples","Aries Kollam Sailors","Greenfield International Stadium",Thiruvananthapuram,"2025-08-28 18:45:00"
32,Final,"Hubli Tigers","Mangalore Dragons","Srikantadatta Narasimha Raja Wadeyar Ground",Mysore,"2025-08-28 18:30:00"
33,"26th Match",Jersey,"Papua New Guinea","Farmers Cricket Club Ground","St Martin","2025-08-28 15:30:00"
34,"25th Match",Denmark,Kuwait,Grainville,"St Saviour","2025-08-28 15:30:00"
35,"Quarter Final 1",Hampshire,Middlesex,"Brunton Memorial Ground",Radlett,"2025-08-28 15:30:00"
36,"Quarter Final 2",Gloucestershire,Somerset,"The Cooper Associates County Ground",Taunton,"2025-08-28 15:30:00"
37,"22nd Match","Lucknow Falcons","Kanpur Superstars","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"2025-08-28 15:00:00"
